web-scraper-order,web-scraper-start-url,single,single-href,title,price,manufacturer,model_name,screen_size,display_resolution,cpu_model,processor,graphics_copressor,ram,storage,operating_system,weight,num_processors,processor_brand
1715950248-235,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"IdeaPad 1 14.0"" HD Laptop - Intel Celeron N4020, 4GB RAM, 128GB eMMC, Windows 11 S Mode - Cloud Grey (82V60065US)",https://www.amazon.ca/Lenovo-IdeaPad-14-0-Laptop-82V60065US/dp/B0CNY7MN5Q/ref=sr_1_6?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.Ksp09ipYJ2676rL24PhR85tNnhWVxXd6S7_dHpTC_lMw_FyQDwt86S3CGvAFzOkvrQ7evVM6qqwbvDvS2k-SAKh61dUBbu06Cf7Icvqp8haqo2WteeZa-3kNlADyB3nK01YM1Hw24q6HXrJMi7x-m5c7qUMA-7wRiJbjSAWq9SfWHSdRDMjjaVgJZRhEb0KCK2fqtUxFvX31Ig02HofPHXARLxAKH2Ji-uRIKQ_qRy4xyrIK6pQpn7GdfcTOumqwVKhHefkKKDc1B7PpQ5xAj3vO3FPVHAT6zxBJfK7a3Ig.r5wE144fnE9HQTZVVDIaRuNZDz7wUVh6tuHn45gn1EY&dib_tag=se&keywords=lenovo+laptop&qid=1715950166&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-6,"Lenovo IdeaPad 1 14.0"" HD Laptop - Intel Celeron N4020, 4GB RAM, 128GB eMMC, Windows 11 S Mode - Cloud Grey (82V60065US)",209,Lenovo,Lenovo IdeaPad 1,_14 Inches,_1366 x 768 pixels,Celeron,_1.1 GHz celeron,Intel UHD Graphics 600,_4 GB DDR4,_128 GB Emmc,_Windows 11 S,_49 x 30 x 8 cm; 1.9 kg,_2,_Intel
1715950071-194,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"IdeaPad 1 14.0"" HD Laptop - Intel Celeron N4020, 4GB RAM, 64GB eMMC, Windows 11 S Mode - Cloud Grey (82V60022US)",https://www.amazon.ca/Lenovo-IdeaPad-14-0-Laptop-82V60022US/dp/B0CT3ZD2VK/ref=sr_1_47?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.PFseQp6-dAu3tgQjC7ceDxZpcH3NKjiBcskfgDXBntBYl6OxGh2HPumpLyw5uhJLHstl2n_y1451L3fs1tDaIRBlW6Q5fC8nS7s9D1pLIJq5gPwK-A4IU4YsDpGCmDY8UwOQjTGGpIetQqYZU967OdzlCRXBtmDDj_C0F3h1Ahl5GeoW4V38_4kJvy3zOL9lBt0sU-Rp8u-sRgfJznDc45udi0qM_FsJ16XQd_XnODUkWPCNShqzA5BV5Wn0V4X8Wmu9iOKHRiVEggeeZFva4xZ8-RmpqgIskdeSIhGAVmU.b1b52bLDN8G2-NM2i96KjSw79TP3GLNgDz5qMdlfrZU&dib_tag=se&keywords=lenovo+laptop&qid=1715950061&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-47,"Lenovo IdeaPad 1 14.0"" HD Laptop - Intel Celeron N4020, 4GB RAM, 64GB eMMC, Windows 11 S Mode - Cloud Grey (82V60022US)",214,Lenovo,Lenovo IdeaPad 1,_14 Inches,_1366 x 768 pixels,Celeron N4020,_1.1 GHz celeron_n4020,Intel UHD Graphics 600,_4 DDR4,_64 GB Emmc,_Windows 11 S,_48.4 x 29.4 x 7.4 cm; 2.02 kg,_2,_Intel
1715950122-206,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"100e 2nd Gen 11.6"" HD Laptop - Intel Celeron N4020, 4GB RAM, 128GB SSD, Military-Grade Durability, Windows 11 Pro Education Ð (Black) (81M80084US)",https://www.amazon.ca/Lenovo-100e-11-6-Laptop-Military-Grade/dp/B0CLW86B4S/ref=sr_1_35?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.PFseQp6-dAu3tgQjC7ceDxZpcH3NKjiBcskfgDXBntBYl6OxGh2HPumpLyw5uhJLHstl2n_y1451L3fs1tDaIRBlW6Q5fC8nS7s9D1pLIJq5gPwK-A4IU4YsDpGCmDY8UwOQjTGGpIetQqYZU967OdzlCRXBtmDDj_C0F3h1Ahl5GeoW4V38_4kJvy3zOL9lBt0sU-Rp8u-sRgfJznDc45udi0qM_FsJ16XQd_XnODUkWPCNShqzA5BV5Wn0V4X8Wmu9iOKHRiVEggeeZFva4xZ8-RmpqgIskdeSIhGAVmU.b1b52bLDN8G2-NM2i96KjSw79TP3GLNgDz5qMdlfrZU&dib_tag=se&keywords=lenovo+laptop&qid=1715950061&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-35,"Lenovo 100e 2nd Gen 11.6"" HD Laptop - Intel Celeron N4020, 4GB RAM, 128GB SSD, Military-Grade Durability, Windows 11 Pro Education Ð (Black) (81M80084US)",264,Lenovo,Lenovo 100e 2nd Gen,_11.6 Inches,_1366 x 768 pixels,Celeron N4020,_1.1 GHz celeron_n4020,Intel UHD Graphics 600,_4 DDR4,_128 GB SSD,_Windows 10 Pro,_44.7 x 25 x 6.9 cm; 1.99 kg,_2,_Intel
1715950177-218,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"14w Gen 2 14"" FHD Laptop - AMD 3015e, 4GB RAM, 128GB SSD, Windows 11 Pro, Educational, Rugged and MIL-STD-810H Durability - 82N80024US",https://www.amazon.ca/Lenovo-14w-Gen-FHD-Laptop/dp/B0BYNYJPKV/ref=sr_1_23?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.Ksp09ipYJ2676rL24PhR85tNnhWVxXd6S7_dHpTC_lMw_FyQDwt86S3CGvAFzOkvrQ7evVM6qqwbvDvS2k-SAKh61dUBbu06Cf7Icvqp8haqo2WteeZa-3kNlADyB3nK01YM1Hw24q6HXrJMi7x-m5c7qUMA-7wRiJbjSAWq9SfWHSdRDMjjaVgJZRhEb0KCK2fqtUxFvX31Ig02HofPHXARLxAKH2Ji-uRIKQ_qRy4xyrIK6pQpn7GdfcTOumqwVKhHefkKKDc1B7PpQ5xAj3vO3FPVHAT6zxBJfK7a3Ig.r5wE144fnE9HQTZVVDIaRuNZDz7wUVh6tuHn45gn1EY&dib_tag=se&keywords=lenovo+laptop&qid=1715950166&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-23,"Lenovo 14w Gen 2 14"" FHD Laptop - AMD 3015e, 4GB RAM, 128GB SSD, Windows 11 Pro, Educational, Rugged and MIL-STD-810H Durability - 82N80024US",268,Lenovo,Lenovo 14w Gen 2,_14 Inches,_1920 x 1080 pixels,Unknown,_2.3 GHz,,_DDR4 SDRAM,_128 GB SSD,_Windows 11 Pro,,_1,_AMD
1715950166-216,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"Chromebook S330 14"" HD Business Laptop, MediaTek MT8173C Processor, MediaTek Integrated Graphics, 4GB LPDDR3 RAM, 32GB eMMC, Wi-Fi 5, HD Webcam, Chrome OS, Black, 128GB Hotface USB Card",https://www.amazon.ca/Lenovo-Chromebook-S330-Processor-Integrated/dp/B0CQ2GFXBK/ref=sr_1_25?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.PFseQp6-dAu3tgQjC7ceDxZpcH3NKjiBcskfgDXBntBYl6OxGh2HPumpLyw5uhJLHstl2n_y1451L3fs1tDaIRBlW6Q5fC8nS7s9D1pLIJq5gPwK-A4IU4YsDpGCmDY8UwOQjTGGpIetQqYZU967OdzlCRXBtmDDj_C0F3h1Ahl5GeoW4V38_4kJvy3zOL9lBt0sU-Rp8u-sRgfJznDc45udi0qM_FsJ16XQd_XnODUkWPCNShqzA5BV5Wn0V4X8Wmu9iOKHRiVEggeeZFva4xZ8-RmpqgIskdeSIhGAVmU.b1b52bLDN8G2-NM2i96KjSw79TP3GLNgDz5qMdlfrZU&dib_tag=se&keywords=lenovo+laptop&qid=1715950061&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-25,"Lenovo Chromebook S330 14"" HD Business Laptop, MediaTek MT8173C Processor, MediaTek Integrated Graphics, 4GB LPDDR3 RAM, 32GB eMMC, Wi-Fi 5, HD Webcam, Chrome OS, Black, 128GB Hotface USB Card",279,Lenovo,Chromebook,_14 Inches,_1366 x 768 pixels,MediaTek MT8183,_1.3 GHz mediatek_mt8183,,_4 GB LPDDR3,_32 GB Emmc,_Chrome OS,_46.29 x 32.79 x 6.4 cm; 1.45 kg,_4,_MediaTek
1715950228-230,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"Ideapad 1 14"" HD Laptop, Intel Celeron N4020, 4GB RAM, 64GB eMMC, Intel UHD Graphics, Wi-Fi 6, Bluetooth, Webcam, Dolby Audio, Windows 11, Cloud Grey, 32GB Hotface USB Card",https://www.amazon.ca/Lenovo-Ideapad-14-Graphics-Bluetooth/dp/B0CQ72BBCY/ref=sr_1_11?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.Ksp09ipYJ2676rL24PhR85tNnhWVxXd6S7_dHpTC_lMw_FyQDwt86S3CGvAFzOkvrQ7evVM6qqwbvDvS2k-SAKh61dUBbu06Cf7Icvqp8haqo2WteeZa-3kNlADyB3nK01YM1Hw24q6HXrJMi7x-m5c7qUMA-7wRiJbjSAWq9SfWHSdRDMjjaVgJZRhEb0KCK2fqtUxFvX31Ig02HofPHXARLxAKH2Ji-uRIKQ_qRy4xyrIK6pQpn7GdfcTOumqwVKhHefkKKDc1B7PpQ5xAj3vO3FPVHAT6zxBJfK7a3Ig.r5wE144fnE9HQTZVVDIaRuNZDz7wUVh6tuHn45gn1EY&dib_tag=se&keywords=lenovo+laptop&qid=1715950166&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-11,"Lenovo Ideapad 1 14"" HD Laptop, Intel Celeron N4020, 4GB RAM, 64GB eMMC, Intel UHD Graphics, Wi-Fi 6, Bluetooth, Webcam, Dolby Audio, Windows 11, Cloud Grey, 32GB Hotface USB Card",279,Lenovo,IdeaPad,_14 Inches,_1366 x 768 pixels,Celeron N,_1.1 GHz celeron_n,,_4 GB DDR4,_64 GB Emmc,_Windows 11,_48 x 29.9 x 7 cm; 1.4 kg,_2,_Intel
1715949906-157,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=4&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"IdeaPad 1 14 14.0"" Laptop, 14.0"" HD (1366 x 768) Display, Intel Celeron N4020 Processor, 4GB DDR4 RAM, 64 GB SSD Storage, Intel UHD Graphics 600, Win 10 in S Mode, 81VU0079US, Ice Blue",https://www.amazon.ca/Lenovo-IdeaPad-Processor-Graphics-81VU0079US/dp/B08YKHYCPW/ref=sr_1_84?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9._X-Q8CwtYDTiQCu_wf3UQnH3k0Y6iixMvgkcw23Lq9-quswIgIs7ZdzWjoeN8Z5ym2qwKltPBpsRmDmHlpFormLhaPlRkQZ0BAcgDX87Jep3khYYKiPaPcV0uqDccnI-goGetbpZx3X6I9SV7wWJzhkGmuK_GNfDepjrUd5BwZLGMmuBSPE3ySbTf40C8GrP-QiK7-XJCw-7i6ojdal-DoP_M3HQHStFM5mZ8_CGDUr_-00Y-f3zY986Q0XMm5Z0SZEGpecrXS_0rgtbO_9OI0hJVacZxXHzbCT_wOczl2M.yx4K1rOm625MZGonePIxYqnSV-qDzU7NsXpW1_GiSCw&dib_tag=se&keywords=lenovo+laptop&qid=1715949846&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-84,"Lenovo IdeaPad 1 14 14.0"" Laptop, 14.0"" HD (1366 x 768) Display, Intel Celeron N4020 Processor, 4GB DDR4 RAM, 64 GB SSD Storage, Intel UHD Graphics 600, Win 10 in S Mode, 81VU0079US, Ice Blue",282,Lenovo,1.95478E+11,_14,_1366 x 768 pixels,1.2GHz Cortex A8 Processor,_1.1 GHz 1_2GHz_Cortex_A8,,_4 DDR4,_64 GB HDD,_Windows 10 S,,_1,_Intel
1715950240-233,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"IdeaPad 1 14'' HD Lightweight Laptop, Intel Celeron N4020 Processor, 4GB RAM, 128GB SSD, Intel UHD Graphics, Wi-Fi 6, Bluetooth, Windows 11, Gray, 128GB Hotface USB Card",https://www.amazon.ca/Lenovo-IdeaPad-Lightweight-Processor-Bluetooth/dp/B0CQV6TVVW/ref=sr_1_8?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.Ksp09ipYJ2676rL24PhR85tNnhWVxXd6S7_dHpTC_lMw_FyQDwt86S3CGvAFzOkvrQ7evVM6qqwbvDvS2k-SAKh61dUBbu06Cf7Icvqp8haqo2WteeZa-3kNlADyB3nK01YM1Hw24q6HXrJMi7x-m5c7qUMA-7wRiJbjSAWq9SfWHSdRDMjjaVgJZRhEb0KCK2fqtUxFvX31Ig02HofPHXARLxAKH2Ji-uRIKQ_qRy4xyrIK6pQpn7GdfcTOumqwVKhHefkKKDc1B7PpQ5xAj3vO3FPVHAT6zxBJfK7a3Ig.r5wE144fnE9HQTZVVDIaRuNZDz7wUVh6tuHn45gn1EY&dib_tag=se&keywords=lenovo+laptop&qid=1715950166&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-8,"Lenovo IdeaPad 1 14'' HD Lightweight Laptop, Intel Celeron N4020 Processor, 4GB RAM, 128GB SSD, Intel UHD Graphics, Wi-Fi 6, Bluetooth, Windows 11, Gray, 128GB Hotface USB Card",289,Lenovo,IdeaPad,_14 Inches,_1366 x 768 pixels,Celeron N,_1.1 GHz celeron_n,,_4 GB DDR4,_128 GB SSD,_Windows 11 Home,_48.2 x 30.9 x 7.2 cm; 1.4 kg,_2,_Intel
1715950140-210,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=2&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"ThinkPad T480 Business Laptop: Core i5-8250U Processor, 512GB SSD, 14"" Full HD IPS Display, 8GB RAM",https://www.amazon.ca/Lenovo-ThinkPad-T480-Business-Laptop/dp/B07L1ZZL8C/ref=sr_1_31?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.PFseQp6-dAu3tgQjC7ceDxZpcH3NKjiBcskfgDXBntBYl6OxGh2HPumpLyw5uhJLHstl2n_y1451L3fs1tDaIRBlW6Q5fC8nS7s9D1pLIJq5gPwK-A4IU4YsDpGCmDY8UwOQjTGGpIetQqYZU967OdzlCRXBtmDDj_C0F3h1Ahl5GeoW4V38_4kJvy3zOL9lBt0sU-Rp8u-sRgfJznDc45udi0qM_FsJ16XQd_XnODUkWPCNShqzA5BV5Wn0V4X8Wmu9iOKHRiVEggeeZFva4xZ8-RmpqgIskdeSIhGAVmU.b1b52bLDN8G2-NM2i96KjSw79TP3GLNgDz5qMdlfrZU&dib_tag=se&keywords=lenovo+laptop&qid=1715950061&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-31,"Lenovo ThinkPad T480 Business Laptop: Core i5-8250U Processor, 512GB SSD, 14"" Full HD IPS Display, 8GB RAM",297,Lenovo,T480,_14 Inches,_1920x1080,Core i5,_1.6 GHz core_i5,,_8 GB DDR4,_512 GB SSD,_Windows 10,,_4,_Intel
1715950260-238,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"IdeaPad 1 14'' HD Laptop, Intel Celeron N4020 Processor, 4GB RAM, 128GB SSD, Intel UHD Graphics, HD Camera, Wi-Fi 6, Bluetooth, HDMI, Windows 11, Gray, 128GB Hotface USB Card",https://www.amazon.ca/Lenovo-IdeaPad-Processor-Graphics-Bluetooth/dp/B0CRR4FPD4/ref=sr_1_3?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.Ksp09ipYJ2676rL24PhR85tNnhWVxXd6S7_dHpTC_lMw_FyQDwt86S3CGvAFzOkvrQ7evVM6qqwbvDvS2k-SAKh61dUBbu06Cf7Icvqp8haqo2WteeZa-3kNlADyB3nK01YM1Hw24q6HXrJMi7x-m5c7qUMA-7wRiJbjSAWq9SfWHSdRDMjjaVgJZRhEb0KCK2fqtUxFvX31Ig02HofPHXARLxAKH2Ji-uRIKQ_qRy4xyrIK6pQpn7GdfcTOumqwVKhHefkKKDc1B7PpQ5xAj3vO3FPVHAT6zxBJfK7a3Ig.r5wE144fnE9HQTZVVDIaRuNZDz7wUVh6tuHn45gn1EY&dib_tag=se&keywords=lenovo+laptop&qid=1715950166&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-3,"Lenovo IdeaPad 1 14'' HD Laptop, Intel Celeron N4020 Processor, 4GB RAM, 128GB SSD, Intel UHD Graphics, HD Camera, Wi-Fi 6, Bluetooth, HDMI, Windows 11, Gray, 128GB Hotface USB Card",299,Lenovo,IdeaPad,_14 Inches,_1366 x 768 pixels,Celeron N,_1.1 GHz celeron_n,,_4 GB DDR4,_128 GB SSD,_Windows 11 Home,_48.2 x 29.8 x 7.2 cm; 1.4 kg,_2,_Intel
1715949765-123,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=5&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"Ideapad 3 81WA00B1US 14"" HD Laptop - Intel Pentium Gold 6405U, 4GB RAM, 128GB SSD, Windows 10 in S Mode - Black",https://www.amazon.ca/Lenovo-Ideapad-81WA00B1US-14-Laptop/dp/B08NHWVWYR/ref=sr_1_118?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.cJwVC-iRlYbD3twnY8Kcoh7rBnQJj7JoREXzYoIqCQUFJIHROlUskF7mKHyjjv8aD_4ftrvKzwyLRlfl_4WoQkRFy_X_qoCm5iWs23pjR0XeTeRpy8taCFoZA_AiCpt7j5awhwvxQgStMjrRU-KqYN0VFQgnq_KC_2JBpXtaLkOL8gq16L83LxdZlzj9xhC6dyUvSDQXKaDnK-EP8fT92oy010-wS9gDvSjAVignuEUjcScCfgBZUQt2_71yNYxY40YpzBO_GNFJPeJYjOOMurrMRedf7CGKcvwjgqay2d0.Rf5Xvxm5kF15qqCUtZrs0_UWTnmgiL77KqZQAZ48EEQ&dib_tag=se&keywords=lenovo+laptop&qid=1715949750&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-118,"Lenovo Ideapad 3 81WA00B1US 14"" HD Laptop - Intel Pentium Gold 6405U, 4GB RAM, 128GB SSD, Windows 10 in S Mode - Black",357,Lenovo,IdeaPad,_14 Inches,_1366 x 768 pixels,Pentium,_2.4 GHz pentium,,_4 GB DDR4,_128 GB SSD,_Windows 10,,_2,_Intel
1715950033-186,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=3&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"Slim 3 Chromebook, 14_ FHD IPS Touchscreen Laptop, MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, HD Webcam, Stereo Speakers, WiFi 6, Chrome OS, Abyss Blue, 32GB Hotface USB Card",https://www.amazon.ca/Lenovo-Slim-Chromebook-Touchscreen-Processor/dp/B0CNCQ4XDT/ref=sr_1_55?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.wiqCflSWxZYEytuAWW-Sx8hucCrKZEh0Zg5R-kLQB4y6ORJDpPOZX06o63TN44efw7s3EnN6IVRCjfUJAgTeP7me7v4H1iMEH9eTz1wGaX5h8O4IAEzMFe-vOxVIwhQmZVlH4YlGuTncPWmZi1GOTFyDijojxxtkXmZpZeaGphnBtlne0G8Ulx1TbonPpqa8C_wemTXsmKOgqQvcQ-uojKPoGfSC0TuvBJaLH6viMAt6a2WskHGNlREfhgfC78Fz61Ef94f7VZHibQnwDbvE8F0l-apGst8iBWBEa5voGu4.YdHAjccXqKaJVGkz2Cm-d4z3rT2c-aNYt8MyjfbUz0k&dib_tag=se&keywords=lenovo+laptop&qid=1715949949&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-55,"Lenovo Slim 3 Chromebook, 14_ FHD IPS Touchscreen Laptop, MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, HD Webcam, Stereo Speakers, WiFi 6, Chrome OS, Abyss Blue, 32GB Hotface USB Card",369,Lenovo,Slim 3 Chromebook,_14 Inches,_1920 x 1080 pixel,MediaTek MT8183,_2.05 GHz mediatek_mt8183,,_4 GB LPDDR4X,_64 GB SSD,_Chrome OS,_45.7 x 28.5 x 7.4 cm; 2.18 kg,_8,__MediaTek
1715950256-237,https://www.amazon.ca/s?k=lenovo+laptop&i=electronics&rh=n%3A667823011%2Cp_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&dc&page=1&crid=3K3M5M4BU2EAV&qid=1715863781&rnid=11192162011&sprefix=lenov+laptop%2Celectronics%2C106&ref=sr_pg_2,"Slim 3 Chromebook, 14'' FHD IPS Touchscreen Laptop, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, HD Webcam, Stereo Speakers, WiFi 6, Chrome OS, Abyss Blue, 32GB Hotface USB Card",https://www.amazon.ca/Lenovo-Slim-Chromebook-Touchscreen-Processor/dp/B0CNCWW2SZ/ref=sr_1_4?crid=3K3M5M4BU2EAV&dib=eyJ2IjoiMSJ9.Ksp09ipYJ2676rL24PhR85tNnhWVxXd6S7_dHpTC_lMw_FyQDwt86S3CGvAFzOkvrQ7evVM6qqwbvDvS2k-SAKh61dUBbu06Cf7Icvqp8haqo2WteeZa-3kNlADyB3nK01YM1Hw24q6HXrJMi7x-m5c7qUMA-7wRiJbjSAWq9SfWHSdRDMjjaVgJZRhEb0KCK2fqtUxFvX31Ig02HofPHXARLxAKH2Ji-uRIKQ_qRy4xyrIK6pQpn7GdfcTOumqwVKhHefkKKDc1B7PpQ5xAj3vO3FPVHAT6zxBJfK7a3Ig.r5wE144fnE9HQTZVVDIaRuNZDz7wUVh6tuHn45gn1EY&dib_tag=se&keywords=lenovo+laptop&qid=1715950166&refinements=p_36%3A15500-%2Cp_89%3ALenovo%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=lenov+laptop%2Celectronics%2C106&sr=1-4,"Lenovo Slim 3 Chromebook, 14'' FHD IPS Touchscreen Laptop, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, HD Webcam, Stereo Speakers, WiFi 6, Chrome OS, Abyss Blue, 32GB Hotface USB Card",379,Lenovo,,_14 Inches,_1920 x 1080 pixels,MediaTek MT8183,_2.05 GHz mediatek_mt8183,MediaTek Integrated Graphics,_4 GB LPDDR4X,_64 GB SSD,_Chrome OS,_45.7 x 28.5 x 9.2 cm; 2 kg,_8,__MediaTek
