web-scraper-order,web-scraper-start-url,single,single-href,title,price_2,manufacturer,model_name,screen_size,display_resolution,cpu_model,processor,graphics_copressor,ram,storage,operating_system,weight,num_processors,processor_brand
1715966594-1,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"VivoBook 15 15.6"" FHD Laptop, Intel Core i5-1240P, 16GB RAM, 512GB PCIe SSD, Intel Iris Xe Graphics, Backlit Keyboard, Wi-Fi 6, HDMI, Win 11 Home, Blue, 32GB Hotface USB Card",https://www.amazon.ca/ASUS-VivoBook-15-i5-1240P-Graphics/dp/B0CP72GDVN/ref=sr_1_240?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-240&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"ASUS VivoBook 15 15.6"" FHD Laptop, Intel Core i5-1240P, 16GB RAM, 512GB PCIe SSD, Intel Iris Xe Graphics, Backlit Keyboard, Wi-Fi 6, HDMI, Win 11 Home, Blue, 32GB Hotface USB Card",979,ASUS,,_15.6 Inches,_1920 x 1080 pixels,Core i5,_1.7 GHz core_i5,_Integrated,_16 GB DDR4,_512 GB SSD,_Windows 11 Home,_35.96 x 23.24 x 1.98 cm; 1.71 kg,_12,_Intel
1715966597-2,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"Creator Q Laptop 2023-15.6"" FHD NVIDIA GeForce RTX 3050 - Intel Core i7-13620H 10 Cores - 40GB DDR5 4TB NVMe SSD - Backlit Keyboard Fingerprint Thunderbolt 4 Wi-Fi 6E- Win11 TLG 32GB USB",https://www.amazon.ca/ASUS-Creator-Laptop-2023-15-6-GeForce/dp/B0CKYGPQW6/ref=sr_1_239?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-239&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"ASUS Creator Q Laptop 2023-15.6"" FHD NVIDIA GeForce RTX 3050 - Intel Core i7-13620H 10 Cores - 40GB DDR5 4TB NVMe SSD - Backlit Keyboard Fingerprint Thunderbolt 4 Wi-Fi 6E- Win11 TLG 32GB USB","2,199.00",ASUS,Creator Laptop Q,_15.6 Inches,_1920 x 1080,Core i7 Family,_3.2 GHz core_i7_family,_Dedicated,_40 GB DDR5,_4 TB SSD,_Windows 11 Home,,_10,_Intel
1715966600-3,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"Vivobook Laptop 2023, 16"" WUXGA Display, Intel i9-13900H 14-Core, NVIDIA Geforce RTX 4050, 48GB DDR4, 1TB SSD, Backlit Keyboard, Thunderbolt 4, Fingerprint, Wi-Fi 6E, Win11 Home, DSO 32GB USB",https://www.amazon.ca/ASUS-Vivobook-i9-13900H-Thunderbolt-Fingerprint/dp/B0CL9H16RR/ref=sr_1_238?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-238&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"ASUS Vivobook Laptop 2023, 16"" WUXGA Display, Intel i9-13900H 14-Core, NVIDIA Geforce RTX 4050, 48GB DDR4, 1TB SSD, Backlit Keyboard, Thunderbolt 4, Fingerprint, Wi-Fi 6E, Win11 Home, DSO 32GB USB","2,388.00",ASUS,ASUS Vivobook 16X,_16 Inches,_1920 x 1200,Intel Core i9,_3 GHz intel_core_i9,_Dedicated,_48 GB DDR4,_1 TB SSD,_Windows 11 Home,,_14,_Intel
1715966602-4,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"Vivobook K3605VV Laptop, 16"" WUXGA IPS, Intel i7-13700H 14-Core, NVIDIA GeForce RTX 4060, 32GB DDR4 1TB SSD, Backlit Keyboard, Thunderbolt 4, Fingerprint, Wi-Fi 6E, Win11 Pro, COU 32GB USB",https://www.amazon.ca/ASUS-Vivobook-i7-13700H-Thunderbolt-Fingerprint/dp/B0CQY8MW51/ref=sr_1_237?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-237&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"ASUS Vivobook K3605VV Laptop, 16"" WUXGA IPS, Intel i7-13700H 14-Core, NVIDIA GeForce RTX 4060, 32GB DDR4 1TB SSD, Backlit Keyboard, Thunderbolt 4, Fingerprint, Wi-Fi 6E, Win11 Pro, COU 32GB USB","2,239.00",ASUS,ASUS Vivobook K3605V,_16 Inches,_1920 x 1200,Core i7 Family,_3 GHz core_i7_family,_Dedicated,_32 GB DDR4,_1 TB SSD,_Windows 11 Pro,,_14,_Intel
1715966605-5,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"Creator Q530 Laptop 2023, 15.6"" FHD, Intel i7-13620H 10-Core, NVIDIA GeForce RTX 3050, 40GB DDR5, 2TB SSD, Backlit KB, Thunderbolt 4, Fingerprint Reader, Wi-Fi 6E, Win11 Home, COU 32GB USB",https://www.amazon.ca/ASUS-Creator-i7-13620H-Thunderbolt-Fingerprint/dp/B0CDX2TJYZ/ref=sr_1_236?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-236&ufe=app_do%3Aamzn1.fos.a4f9e18d-83e4-4dfa-94d2-717d5a20bf26,"ASUS Creator Q530 Laptop 2023, 15.6"" FHD, Intel i7-13620H 10-Core, NVIDIA GeForce RTX 3050, 40GB DDR5, 2TB SSD, Backlit KB, Thunderbolt 4, Fingerprint Reader, Wi-Fi 6E, Win11 Home, COU 32GB USB","1,969.00",ASUS,ASUS Creator Q530VJ,_15.6 Inches,_1920 x 1080,Core i7 Family,_3 GHz core_i7_family,_Dedicated,_40 GB DDR5,_2 TB SSD,_Windows 11 Home,,_10,_Intel
1715966608-6,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"Creator Q530 15.6"" FHD (1920x1080) Laptop | Intel i7-13620H 10-Core | NVIDIA GeForce RTX 3050 | Backlit Keyboard | Fingerprint | Thunderbolt 4 | RJ-45 | WiFi 6E | 40GB DDR5 2TB SSD | Win11 Home",https://www.amazon.ca/ASUS-1920x1080-i7-13620H-Fingerprint-Thunderbolt/dp/B0CDQ23PTL/ref=sr_1_235?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-235&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"ASUS Creator Q530 15.6"" FHD (1920x1080) Laptop | Intel i7-13620H 10-Core | NVIDIA GeForce RTX 3050 | Backlit Keyboard | Fingerprint | Thunderbolt 4 | RJ-45 | WiFi 6E | 40GB DDR5 2TB SSD | Win11 Home","2,037.00",ASUS,Creator Q530,_15.6 Inches,_1920 x 1080,Core i7 Family,_3.1 GHz core_i7_family,_Dedicated,_40 GB DDR5,_2 TB SSD,_Windows 11 Home,,_10,_Intel
1715966612-7,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"B3 Business Laptop B3604CMA-P53-CB 16"" WUXGA, Intel Core Ultra 5 Processor 125U 16GB, 512GB, WiFi 6E, Mil-Spec, Windows 11 Pro, 3Yr/1Yr",https://www.amazon.ca/ASUS-Business-B3604CMA-P53-CB-Processor-Mil-Spec/dp/B0D27N3DSM/ref=sr_1_234?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-234&ufe=app_do%3Aamzn1.fos.d37915d4-723e-43e1-99e0-6d90f8767367,"ASUS B3 Business Laptop B3604CMA-P53-CB 16"" WUXGA, Intel Core Ultra 5 Processor 125U 16GB, 512GB, WiFi 6E, Mil-Spec, Windows 11 Pro, 3Yr/1Yr","1,399.00",ASUS,Asus Expertbook,_16 Inches,_1920 x 1080 pixels,Core i5,_1.3 GHz core_i5,_Integrated,_16 GB DDR4,_512 GB SSD,_Windows 11 Pro,_50 x 30 x 9 cm; 500 g,_1,_Intel
1715966615-8,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"B5 Business Laptop B5404CMA-P73-CB 14.0"" WUXGA, Intel Core Ultra 7 Processor 155H - Intel AI Boost NPU, vPro Ess, 32GB, 1TB, WiFi 6E, Mil-Spec, Windows 11 Pro, 3Yr/1Yr",https://www.amazon.ca/ASUS-Business-Laptop-B5404CMA-P73-CB-Processor/dp/B0D26VS6D8/ref=sr_1_233?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-233&ufe=app_do%3Aamzn1.fos.a4f9e18d-83e4-4dfa-94d2-717d5a20bf26,"ASUS B5 Business Laptop B5404CMA-P73-CB 14.0"" WUXGA, Intel Core Ultra 7 Processor 155H - Intel AI Boost NPU, vPro Ess, 32GB, 1TB, WiFi 6E, Mil-Spec, Windows 11 Pro, 3Yr/1Yr","1,899.00",ASUS,Asus Expertbook,_16 Inches,_1920 x 1080 pixels,Core i5,_1.3 GHz core_i5,_Integrated,_16 GB DDR4,_1 TB SSD,_Windows 11 Pro,_40 x 23 x 12 cm; 500 g,_1,_Intel
1715966619-9,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"ROG Strix G16 Gaming Laptop, 16"" 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 64GB DDR5, 4TB PCIe SSD, HD Camera, Wi-Fi 6E, Windows 11 Pro, Gray, 32GB Hotface USB Card",https://www.amazon.ca/ASUS-ROG-Strix-G16-Gaming/dp/B0CPTRVZBQ/ref=sr_1_232?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-232&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"ASUS ROG Strix G16 Gaming Laptop, 16"" 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 64GB DDR5, 4TB PCIe SSD, HD Camera, Wi-Fi 6E, Windows 11 Pro, Gray, 32GB Hotface USB Card","3,799.00",Asus,ROG Strix,_16 Inches,_1920 x 1200 pixel,Core i9,_2.2 GHz core_i9,_Dedicated,_64 GB DDR5,_4 TB SSD,_Windows 11 Pro,,_24,_Intel
1715966621-10,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"Vivobook 16X K3605V 2023 Laptop 16"" WUXGA 1920x1200 IPS 14-Core Intel i9-13900H 32GB DDR4 1TB SSD NVIDIA GeForce RTX 4050 4GBGB GDDR6 Wi-Fi 6E Backlit Keyboard Windows 11 Pro w/ONT 32GB USB",https://www.amazon.ca/ASUS-Vivobook-1920x1200-i9-13900H-Keyboard/dp/B0CCN2PSS4/ref=sr_1_231?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-231&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"ASUS Vivobook 16X K3605V 2023 Laptop 16"" WUXGA 1920x1200 IPS 14-Core Intel i9-13900H 32GB DDR4 1TB SSD NVIDIA GeForce RTX 4050 4GBGB GDDR6 Wi-Fi 6E Backlit Keyboard Windows 11 Pro w/ONT 32GB USB","2,172.00",ASUS,Vivobook 16X,_16 Inches,_1920 x 1200,Intel Core i9,_2.9 GHz intel_core_i9,_Dedicated,_32 GB DDR4,_1 TB SSD,_Windows 11 Pro,,_14,_Intel
1715966625-11,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"Zenbook Pro 14 Duo Laptop, 14.5"" 16:10 120Hz WQXGA Plus Touch Display, ScreenPad Plus, Intel Core i9-13900H, 32GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 4050, Windows 11 Home",https://www.amazon.ca/ASUS-Zenbook-Pro-Laptop-14-5/dp/B0BT7B5XTX/ref=sr_1_230?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-230&ufe=app_do%3Aamzn1.fos.fe67de69-a579-4370-9bc8-5e38fc5a3bcc,"ASUS Zenbook Pro 14 Duo Laptop, 14.5"" 16:10 120Hz WQXGA Plus Touch Display, ScreenPad Plus, Intel Core i9-13900H, 32GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 4050, Windows 11 Home","3,299.00",ASUS,Zenbook Pro,_14.5 Inches,_2880 x 1800 pixels,Intel Core i9,_2.6 GHz intel_core_i9,_Dedicated,_32 GB DDR5,_1 TB SSD,_Windows 11 Home,,_14,_Intel
1715966629-12,https://www.amazon.ca/s?k=asus+laptop&i=electronics&rh=n%3A667823011%2Cp_89%3AAsus%2Cp_n_condition-type%3A11192164011&dc&page=10&crid=3O3RPD3IB6I8K&qid=1715860115&rnid=11192162011&sprefix=asus+laptop%2Celectronics%2C104&ref=sr_pg_2,"Zenbook Pro 17 17.3"" 165Hz WQHD Touchscreen Laptop, AMD Ryzen 7 6800H, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050, Backlit Keyboard, Win 11 Home, Black, 32GB Hotface USB Card",https://www.amazon.ca/ASUS-Zenbook-Touchscreen-GeForce-Keyboard/dp/B0CC5B8CBN/ref=sr_1_229?crid=3O3RPD3IB6I8K&dib=eyJ2IjoiMSJ9.CyY7IQlSHS0EP1NxqRBwbp-KtuWRM8z96-H_AnvAmzaRJ4-vtwC3z784LkotyFmCqH_1LoYkKdD7qHhrHUdXP8eGxB7SIbOhsBXC469ZTmXJ4u8kCc2-CZXA6I-KS-yVK75VE0QrzFW9h56tdZIZHsm0VsQlmALQAImuq11fsP8vTZWdLtxFrjQSIxxjji2yVEp2qTXaEg7gfLvIeHgwOxjcmlWQ_DuWZQKiBJ09fdhuF3pw4jySZyGBxfwg1E1oiQ8EWXAjZ-SrgPgFbaxJsZAh8uF93yZtdeXMK9RoXak.3ywFSbTuNOHgBg1j0rSWTD-g1sMDl1TcAX8vxoYFJRY&dib_tag=se&keywords=asus+laptop&qid=1715966587&refinements=p_89%3AAsus%2Cp_n_condition-type%3A11192164011&rnid=11192162011&s=electronics&sprefix=asus+laptop%2Celectronics%2C104&sr=1-229&ufe=app_do%3Aamzn1.fos.a4f9e18d-83e4-4dfa-94d2-717d5a20bf26,"ASUS Zenbook Pro 17 17.3"" 165Hz WQHD Touchscreen Laptop, AMD Ryzen 7 6800H, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050, Backlit Keyboard, Win 11 Home, Black, 32GB Hotface USB Card","1,989.00",ASUS,ZenBook Pro,_17.3 Inches,_2560 x 1600 pixels,Ryzen 7,_3.2 GHz ryzen_7,_Dedicated,_16 GB Lpddr 5,_512 GB SSD,_Windows 11 Home,_59.6 x 41.79 x 16 cm; 2.49 kg,_8,_AMD
